,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Thompson,55.7435,-97.8558,-18.4,63,75,6.91,CA,1612989184
1,Kapaa,22.0752,-159.319,73.4,53,20,11.5,US,1612989184
2,Dinar,38.065,30.1656,42.8,75,0,5.75,TR,1612989376
3,Tuktoyaktuk,69.4541,-133.0374,-27.4,68,20,12.66,CA,1612989184
4,Horta,38.5333,-28.6333,60.8,63,40,26.46,PT,1612989185
5,Saint-Philippe,-21.3585,55.7679,80.6,69,0,4.61,RE,1612989376
6,Anloga,5.7947,0.8973,84.2,84,20,10.36,GH,1612989186
7,Ushuaia,-54.8,-68.3,77.0,27,0,20.71,AR,1612989301
8,Vila Franca do Campo,37.7167,-25.4333,61.0,82,20,18.41,PT,1612989377
9,Verkhoyansk,67.5447,133.385,-21.35,79,2,2.84,RU,1612989180
10,Busselton,-33.65,115.3333,55.0,98,12,6.87,AU,1612989377
11,Assiut,27.181,31.1837,62.6,55,0,9.22,EG,1612989377
12,Rikitea,-23.1203,-134.9692,78.51,75,20,13.44,PF,1612989187
13,Shahrud,36.4182,54.9763,47.43,53,89,1.3,IR,1612989187
14,Hasaki,35.7333,140.8333,41.0,56,0,10.36,JP,1612989094
15,Chokurdakh,70.6333,147.9167,-11.52,89,82,8.77,RU,1612989187
16,Doha,25.2867,51.5333,66.2,82,0,5.75,QA,1612989106
17,Yellowknife,62.456,-114.3525,-7.01,71,20,11.5,CA,1612989188
18,Monforte de Lemos,42.5216,-7.5142,42.01,86,100,4.03,ES,1612989188
19,Avarua,-21.2078,-159.775,84.2,70,20,11.5,CK,1612989188
20,Antalaha,-14.9003,50.2788,77.27,84,100,1.25,MG,1612989188
21,Kruisfontein,-34.0033,24.7314,72.0,88,41,2.42,ZA,1612989189
22,New Norfolk,-42.7826,147.0587,53.01,71,0,2.33,AU,1612989190
23,Banyo,6.75,11.8167,67.69,23,100,4.68,CM,1612989191
24,Poltár,48.4309,19.7941,30.99,71,100,2.55,SK,1612989191
25,Hilo,19.7297,-155.09,73.99,78,90,6.91,US,1612989192
26,Anito,12.4497,125.2886,76.87,89,28,8.41,PH,1612989192
27,Hithadhoo,-0.6,73.0833,81.77,78,49,11.86,MV,1612989192
28,Albany,42.6001,-73.9662,28.99,43,100,1.01,US,1612989193
