,Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
1,1,Kapaa,22.0752,-159.319,73.4,53,20,11.5,US,1612989184,
7,7,Ushuaia,-54.8,-68.3,77.0,27,0,20.71,AR,1612989301,Hotel Los Yámanas
12,12,Rikitea,-23.1203,-134.9692,78.51,75,20,13.44,PF,1612989187,Pension Bianca & Benoit
16,16,Doha,25.2867,51.5333,66.2,82,0,5.75,QA,1612989106,"Mandarin Oriental, Doha"
20,20,Antalaha,-14.9003,50.2788,77.27,84,100,1.25,MG,1612989188,Villa-Malaza
21,21,Kruisfontein,-34.0033,24.7314,72.0,88,41,2.42,ZA,1612989189,
23,23,Banyo,6.75,11.8167,67.69,23,100,4.68,CM,1612989191,Hôtel Municipal de Banyo
25,25,Hilo,19.7297,-155.09,73.99,78,90,6.91,US,1612989192,Hilo Hawaiian Hotel
26,26,Anito,12.4497,125.2886,76.87,89,28,8.41,PH,1612989192,The Yellow House
32,32,East London,-33.0153,27.9116,76.17,87,8,11.88,ZA,1612989195,Blue Lagoon Hotel
36,36,Cape Town,-33.9258,18.4232,71.6,73,0,16.11,ZA,1612989121,Atlanticview Cape Town Boutique Hotel
39,39,Vaini,-21.2,-175.2,78.8,89,75,9.22,TO,1612989197,Paradise First Hotel
42,42,Lebu,-37.6167,-73.65,68.47,67,1,9.06,CL,1612989199,Hotel Plaza Lebu
45,45,Port Alfred,-33.5906,26.891,73.99,94,16,1.99,ZA,1612989199,Royal St Andrews Hotel
46,46,Coquimbo,-29.9533,-71.3436,68.0,68,40,10.36,CL,1612989199,Enjoy Coquimbo Hotel de la Bahía
51,51,Sumbe,-11.2061,13.8437,77.05,81,72,3.98,AO,1612989200,Hotel Ritz Sumbe
53,53,Souillac,-20.5167,57.5167,78.8,78,75,11.5,MU,1612989200,Shanti Maurice Resort & Spa
54,54,Puerto Ayora,-0.7393,-90.3518,77.0,94,75,1.14,EC,1612989076,Angermeyer Waterfront Inn
61,61,Cabatuan,10.8794,122.486,74.41,87,73,1.28,PH,1612989204,
64,64,Machinga,-15.1685,35.3,69.03,97,100,3.65,MW,1612989205,
65,65,Castro,-24.7911,-50.0119,67.06,88,20,7.34,BR,1612989205,Pousada Rota Dos Tropeiros
67,67,Punta Arenas,-53.15,-70.9167,68.0,52,0,8.05,CL,1612989151,Hotel Dreams Del Estrecho
69,69,Bandarbeyla,9.4942,50.8122,74.44,72,64,18.77,SO,1612989207,JABIR HOTEL
72,72,Chui,-33.6971,-53.4616,74.39,77,100,10.98,UY,1612989210,Bertelli Chuí Hotel
79,79,Constitución,-35.3333,-72.4167,68.38,73,27,4.14,CL,1612989213,Posada la Piedra
80,80,Bredasdorp,-34.5322,20.0403,68.0,77,43,6.91,ZA,1612989213,Bredasdorp Country Manor
81,81,Carnarvon,-24.8667,113.6333,69.8,94,0,21.85,AU,1612989214,Carnarvon Sea Change Apartments
83,83,Hermanus,-34.4187,19.2345,69.01,81,2,3.0,ZA,1612989216,Misty Waves Boutique Hotel
84,84,Beloha,-25.1667,45.05,71.01,81,100,12.3,MG,1612989216,
87,87,Mar del Plata,-38.0023,-57.5575,69.8,78,40,17.27,AR,1612989109,Hotel Las Rocas
88,88,Moindou,-21.6924,165.67700000000002,71.6,94,75,2.3,NC,1612989217,
101,101,Cabo San Lucas,22.8909,-109.9124,77.0,56,1,19.57,MX,1612989142,Waldorf Astoria Los Cabos Pedregal
103,103,Padang,-0.9492,100.3543,75.2,83,40,2.3,ID,1612989085,Air Manis Hill Residence
108,108,Quelimane,-17.8786,36.8883,78.8,73,20,3.44,MZ,1612989224,Milénio Hotel
110,110,Mount Isa,-20.7333,139.5,78.8,78,0,5.75,AU,1612989016,ibis Styles Mt Isa Verona
120,120,Bambous Virieux,-20.3428,57.7575,78.8,78,75,11.5,MU,1612989230,
123,123,Vao,-22.6667,167.4833,76.32,83,18,12.77,NC,1612989231,OURE TERA beach resort
129,129,Truth or Consequences,33.1284,-107.2528,69.01,13,20,6.91,US,1612989233,Sierra Grande Lodge & Spa
131,131,Salalah,17.0151,54.0924,77.0,27,0,6.91,OM,1612989234,HYATT SALALAH HOTEL
134,134,Atar,20.5169,-13.0499,69.46,19,0,9.42,MR,1612989235,Odar kanawal
136,136,Cap Malheureux,-19.9842,57.6142,77.0,79,42,10.0,MU,1612988977,Mauricia Beachcomber Resort & Spa
141,141,Marsh Harbour,26.5412,-77.0636,75.25,76,81,10.87,BS,1612989237,Abaco Beach Resort
142,142,Atuona,-9.8,-139.0333,79.38,76,0,17.85,PF,1612989237,Hôtel Hiva Oa Hanakee Lodge
145,145,Biak,-0.9131,122.8766,77.56,78,100,0.51,ID,1612989238,
149,149,Seddon,-37.8068,144.8916,68.0,88,30,5.75,AU,1612989240,"Quest NewQuay, Docklands"
150,150,Mahanje,-9.9333,35.3333,66.87,96,100,1.95,TZ,1612989240,
153,153,Port Blair,11.6667,92.75,75.92,68,6,8.48,IN,1612989186,Hotel Value Luxury Stay Andaman
156,156,Mabaruma,8.2,-59.7833,79.5,67,29,6.4,GY,1612989242,Small's Enterprise
158,158,Los Llanos de Aridane,28.6585,-17.9182,66.2,77,75,4.61,ES,1612989244,Hotel Hacienda de Abajo
159,159,Mahabalipuram,12.6264,80.1722,69.8,83,20,5.44,IN,1612989245,Radisson Blu Resort Temple Bay Mamallapuram
160,160,Gulfport,30.3674,-89.0928,66.2,94,90,11.5,US,1612989180,Oasis Resort
161,161,Sam Phran,13.727,100.2153,77.0,86,35,1.57,TH,1612989245,ParnDhevi Riverside Resort & Spa (ปานเทวี ริเวอร์ไซด์ รีสอร์ท แอนด์ สปา)
170,170,Cidreira,-30.1811,-50.2056,75.72,80,79,14.99,BR,1612989250,Hotel Castelo
173,173,Emerald,-23.5333,148.1667,73.4,88,90,10.36,AU,1612989251,Stay On Sullivan
174,174,Bengkulu,-3.8004,102.2655,74.55,88,63,5.06,ID,1612989251,Mercure Bengkulu
183,183,Blackwater,-23.5833,148.8833,71.24,82,100,9.71,AU,1612989255,The Capricorn Hotel
184,184,Mataram,-8.5833,116.1167,73.4,94,75,2.73,ID,1612989256,ASTON Inn Mataram
186,186,Rafai,4.95,23.9167,72.48,25,98,2.37,CF,1612989256,
188,188,Itambacuri,-18.0311,-41.685,75.52,82,61,3.4,BR,1612989257,Pousada Bela
191,191,Harper,4.375,-7.7169,79.36,86,27,8.03,LR,1612989182,Grands' Guesthouse
193,193,Mwene-Ditu,-7.0,23.45,67.86,93,100,2.17,CD,1612989258,Hôtel Kakangayi
195,195,Port Elizabeth,-33.918,25.5701,73.4,94,40,5.75,ZA,1612989259,Island Way Villa
196,196,Colesberg,-30.72,25.0972,78.28,29,3,13.53,ZA,1612989259,The Barracks
198,198,Demba,-5.51,22.2667,70.63,93,100,1.99,CD,1612989260,
199,199,Luwuk,-0.9516,122.7875,78.75,72,100,1.39,ID,1612989260,Swiss-Belinn Hotel Luwuk
